activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,8HF,Cadence Step Tracker,Cadence Step Trackers,False,False,False,ActionCadenceStepTracker,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceStepTracker/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceStepTracker/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceStepTracker')])"
False,ChangeEvent,ActionCadenceStepTracker,False,False,False,False,False,False,False,False,False,False,,Cadence Step Tracker Change Event,Cadence Step Tracker Change Event,False,False,False,ActionCadenceStepTrackerChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceStepTrackerChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/ActionCadenceStepTrackerChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceStepTrackerChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceStepTrackerChangeEvent')])"
False,,,False,False,False,False,False,False,False,False,False,False,0qB,Cadence Tracker,Cadence Trackers,False,False,False,ActionCadenceTracker,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceTracker/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceTracker/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceTracker')])"
False,ChangeEvent,ActionCadenceTracker,False,False,False,False,False,False,False,False,False,False,,Cadence Tracker Change Event,Cadence Tracker Change Event,False,False,False,ActionCadenceTrackerChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceTrackerChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/ActionCadenceTrackerChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceTrackerChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceTrackerChangeEvent')])"
False,Share,ActionCadenceTracker,True,False,False,False,True,False,False,False,False,False,,Cadence Tracker Share,Cadence Tracker Share,False,False,False,ActionCadenceTrackerShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCadenceTrackerShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCadenceTrackerShare/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCadenceTrackerShare')])"
False,,,False,False,False,False,False,False,False,False,False,False,0gk,Cadence Step Monthly Metric,Cadence Step Monthly Metrics,False,False,False,ActionCdncStpMonthlyMetric,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionCdncStpMonthlyMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionCdncStpMonthlyMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/ActionCdncStpMonthlyMetric')])"
False,,,True,False,False,False,True,False,False,False,False,False,07g,Action Link Group Template,Action Link Group Templates,True,False,True,ActionLinkGroupTemplate,True,False,True,False,False,False,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/ActionLinkGroupTemplate/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/ActionLinkGroupTemplate/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionLinkGroupTemplate/describe'), ('layouts', '/services/data/v57.0/sobjects/ActionLinkGroupTemplate/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ActionLinkGroupTemplate')])"
False,,,True,False,False,False,True,False,False,False,False,False,07l,Action Link Template,Action Link Templates,True,False,False,ActionLinkTemplate,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActionLinkTemplate/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActionLinkTemplate/describe'), ('layouts', '/services/data/v57.0/sobjects/ActionLinkTemplate/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ActionLinkTemplate')])"
False,,,False,False,False,False,False,False,False,False,False,False,5H2,Active Feature License Metric,Active Feature License Metrics,False,False,False,ActiveFeatureLicenseMetric,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActiveFeatureLicenseMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActiveFeatureLicenseMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/ActiveFeatureLicenseMetric')])"
False,,,False,False,False,False,False,False,False,False,False,False,5H1,Active Permission Set License Metric,Active Permission Set License Metrics,False,False,False,ActivePermSetLicenseMetric,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivePermSetLicenseMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivePermSetLicenseMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivePermSetLicenseMetric')])"
False,,,False,False,False,False,False,False,False,False,False,False,5H0,Active Profile Metric,Active Profile Metrics,False,False,False,ActiveProfileMetric,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActiveProfileMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActiveProfileMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/ActiveProfileMetric')])"
False,,,False,False,False,False,True,False,False,False,False,False,2fp,Activity Field History,Activity Field Histories,False,False,False,ActivityFieldHistory,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivityFieldHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivityFieldHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivityFieldHistory')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Activity History,Activity History,False,False,False,ActivityHistory,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivityHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivityHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivityHistory')])"
False,,,True,False,False,False,False,False,False,False,False,False,0Gq,Activity Metric,Activity Metrics,False,False,False,ActivityMetric,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivityMetric/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivityMetric/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivityMetric')])"
False,,,True,False,False,False,False,False,False,False,False,False,01K,Activity Metric Rollup,Activity Metric Rollups,False,False,False,ActivityMetricRollup,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivityMetricRollup/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivityMetricRollup/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivityMetricRollup')])"
False,,,False,False,False,False,False,False,False,False,False,False,1fm,Activity User Connection Status,Activity User Connection Status,False,False,False,ActivityUsrConnectionStatus,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ActivityUsrConnectionStatus/{ID}'), ('describe', '/services/data/v57.0/sobjects/ActivityUsrConnectionStatus/describe'), ('sobject', '/services/data/v57.0/sobjects/ActivityUsrConnectionStatus')])"
False,,,True,False,False,False,True,False,False,False,False,False,04m,Additional Directory Number,Additional Directory Numbers,False,False,False,AdditionalNumber,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AdditionalNumber/{ID}'), ('describe', '/services/data/v57.0/sobjects/AdditionalNumber/describe'), ('sobject', '/services/data/v57.0/sobjects/AdditionalNumber')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Aggregate Result,Aggregate Result,False,False,False,AggregateResult,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AggregateResult/{ID}'), ('describe', '/services/data/v57.0/sobjects/AggregateResult/describe'), ('sobject', '/services/data/v57.0/sobjects/AggregateResult')])"
False,,,True,False,False,False,True,False,False,False,False,False,099,Visualforce Component,Visualforce Components,False,False,True,ApexComponent,True,True,True,True,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ApexComponent/{ID}'), ('describe', '/services/data/v57.0/sobjects/ApexComponent/describe'), ('sobject', '/services/data/v57.0/sobjects/ApexComponent')])"
False,,,False,False,False,False,True,False,False,False,False,False,07L,Apex Debug Log,Apex Debug Log,False,False,False,ApexLog,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ApexLog/{ID}'), ('describe', '/services/data/v57.0/sobjects/ApexLog/describe'), ('sobject', '/services/data/v57.0/sobjects/ApexLog')])"
False,,,True,False,False,False,True,False,False,False,False,False,066,Visualforce Page,Visualforce Pages,False,False,True,ApexPage,True,True,True,True,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ApexPage/{ID}'), ('describe', '/services/data/v57.0/sobjects/ApexPage/describe'), ('sobject', '/services/data/v57.0/sobjects/ApexPage')])"
False,,,False,False,False,False,False,False,False,False,False,False,4ve,Apex Page Info,Apex Pages Info,False,False,False,ApexPageInfo,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ApexPageInfo/{ID}'), ('describe', '/services/data/v57.0/sobjects/ApexPageInfo/describe'), ('sobject', '/services/data/v57.0/sobjects/ApexPageInfo')])"
False,,,True,False,False,False,True,False,False,False,False,False,0XI,App Analytics Query Request,App Analytics Query Requests,False,False,True,AppAnalyticsQueryRequest,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AppAnalyticsQueryRequest/{ID}'), ('describe', '/services/data/v57.0/sobjects/AppAnalyticsQueryRequest/describe'), ('sobject', '/services/data/v57.0/sobjects/AppAnalyticsQueryRequest')])"
False,,,False,False,False,False,False,False,False,False,False,False,06m,App Definition,App Definitions,False,False,False,AppDefinition,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AppDefinition/{ID}'), ('describe', '/services/data/v57.0/sobjects/AppDefinition/describe'), ('sobject', '/services/data/v57.0/sobjects/AppDefinition')])"
False,,,False,False,False,False,True,False,False,False,False,False,0DS,AppMenuItem,AppMenuItems,False,False,False,AppMenuItem,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AppMenuItem/{ID}'), ('describe', '/services/data/v57.0/sobjects/AppMenuItem/describe'), ('sobject', '/services/data/v57.0/sobjects/AppMenuItem')])"
False,,,False,False,False,False,False,False,False,False,False,False,06o,App Tab Member,App Tab Members,False,False,False,AppTabMember,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AppTabMember/{ID}'), ('describe', '/services/data/v57.0/sobjects/AppTabMember/describe'), ('sobject', '/services/data/v57.0/sobjects/AppTabMember')])"
False,,,True,False,False,False,True,False,False,False,False,False,02i,Asset,Assets,True,False,True,Asset,True,True,True,True,False,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Asset/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Asset/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Asset/describe/approvalLayouts'), ('listviews', '/services/data/v57.0/sobjects/Asset/listviews'), ('describe', '/services/data/v57.0/sobjects/Asset/describe'), ('quickActions', '/services/data/v57.0/sobjects/Asset/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Asset/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Asset')])"
False,ChangeEvent,Asset,False,False,False,False,False,False,False,False,False,False,,Asset Change Event,Asset Change Event,False,False,False,AssetChangeEvent,False,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AssetChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AssetChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetChangeEvent')])"
False,History,Asset,False,False,False,False,False,False,False,False,False,False,,Asset History,Asset History,False,False,False,AssetHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/AssetHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetHistory')])"
False,,,True,False,False,False,True,False,False,False,False,False,1AR,Asset Relationship,Asset Relationships,True,False,True,AssetRelationship,True,True,True,True,False,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/AssetRelationship/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/AssetRelationship/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/AssetRelationship/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/AssetRelationship/describe'), ('quickActions', '/services/data/v57.0/sobjects/AssetRelationship/quickActions'), ('layouts', '/services/data/v57.0/sobjects/AssetRelationship/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/AssetRelationship')])"
False,History,AssetRelationship,False,False,False,False,False,False,False,False,False,False,,Asset Relationship History,Asset Relationship History,False,False,False,AssetRelationshipHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetRelationshipHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/AssetRelationshipHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetRelationshipHistory')])"
False,Share,Asset,True,False,False,False,False,False,False,False,False,False,70a,Asset Share,Asset Share,False,False,False,AssetShare,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/AssetShare/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetShare')])"
False,Tag,Asset,True,False,False,False,True,False,False,False,False,False,,Asset Tag,Asset Tag,False,False,False,AssetTag,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetTag/{ID}'), ('describe', '/services/data/v57.0/sobjects/AssetTag/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetTag')])"
False,,,False,False,False,False,False,False,False,False,False,False,0Li,Asset Token Event,Asset Token Events,False,False,False,AssetTokenEvent,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssetTokenEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AssetTokenEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AssetTokenEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AssetTokenEvent')])"
False,,,False,False,False,False,False,False,False,False,False,False,01Q,Assignment Rule,Assignment Rules,False,False,False,AssignmentRule,True,False,True,True,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AssignmentRule/{ID}'), ('describe', '/services/data/v57.0/sobjects/AssignmentRule/describe'), ('sobject', '/services/data/v57.0/sobjects/AssignmentRule')])"
False,,,False,False,False,False,False,False,False,False,False,False,0Xw,Async Operation Event,Async Operation Events,False,False,False,AsyncOperationEvent,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AsyncOperationEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AsyncOperationEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AsyncOperationEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AsyncOperationEvent')])"
False,,,False,False,False,False,False,False,False,False,False,False,0YD,Async Operation Status,Async Operation Status,False,False,False,AsyncOperationStatus,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AsyncOperationStatus/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AsyncOperationStatus/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AsyncOperationStatus/describe'), ('sobject', '/services/data/v57.0/sobjects/AsyncOperationStatus')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Attached Content Document,Attached Content Documents,False,False,False,AttachedContentDocument,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AttachedContentDocument/{ID}'), ('describe', '/services/data/v57.0/sobjects/AttachedContentDocument/describe'), ('sobject', '/services/data/v57.0/sobjects/AttachedContentDocument')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Note,Notes,False,False,False,AttachedContentNote,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AttachedContentNote/{ID}'), ('describe', '/services/data/v57.0/sobjects/AttachedContentNote/describe'), ('sobject', '/services/data/v57.0/sobjects/AttachedContentNote')])"
False,,,True,False,False,False,True,False,False,False,False,False,00P,Attachment,Attachments,False,False,False,Attachment,True,True,True,True,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/Attachment/{ID}'), ('describe', '/services/data/v57.0/sobjects/Attachment/describe'), ('sobject', '/services/data/v57.0/sobjects/Attachment')])"
False,,,True,False,False,False,True,False,False,False,False,False,0Ad,Lightning Component Definition,Lightning Component Definitions,False,False,False,AuraDefinition,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuraDefinition/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuraDefinition/describe'), ('sobject', '/services/data/v57.0/sobjects/AuraDefinition')])"
False,,,True,False,False,False,True,False,False,False,False,False,0Ab,Aura Component Bundle,Aura Component Bundles,False,False,False,AuraDefinitionBundle,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuraDefinitionBundle/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuraDefinitionBundle/describe'), ('sobject', '/services/data/v57.0/sobjects/AuraDefinitionBundle')])"
False,,,False,False,False,False,False,False,False,False,False,False,0ab,AuraDefinitionBundle Info,AuraDefinitionBundle Infos,False,False,False,AuraDefinitionBundleInfo,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuraDefinitionBundleInfo/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuraDefinitionBundleInfo/describe'), ('sobject', '/services/data/v57.0/sobjects/AuraDefinitionBundleInfo')])"
False,,,False,False,False,False,False,False,False,False,False,False,0ad,AuraDefinition Info,AuraDefinition Infos,False,False,False,AuraDefinitionInfo,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuraDefinitionInfo/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuraDefinitionInfo/describe'), ('sobject', '/services/data/v57.0/sobjects/AuraDefinitionInfo')])"
False,,,False,False,False,False,False,False,False,False,False,False,07T,Authentication Configuration,Authentication Configurations,False,False,False,AuthConfig,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuthConfig/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuthConfig/describe'), ('sobject', '/services/data/v57.0/sobjects/AuthConfig')])"
False,,,False,False,False,False,False,False,False,False,False,False,07U,Authentication Configuration Auth. Provider,Authentication Configuration Auth. Providers,False,False,False,AuthConfigProviders,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuthConfigProviders/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuthConfigProviders/describe'), ('sobject', '/services/data/v57.0/sobjects/AuthConfigProviders')])"
False,,,True,False,False,False,True,False,False,False,False,False,0SO,Auth. Provider,Auth. Providers,False,False,False,AuthProvider,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AuthProvider/{ID}'), ('describe', '/services/data/v57.0/sobjects/AuthProvider/describe'), ('sobject', '/services/data/v57.0/sobjects/AuthProvider')])"
